Id,Age,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,CallDurationSecs,CardInsurance
1,32,management,single,tertiary,0,1218,1,0,telephone,70,0
2,32,blue-collar,married,primary,0,1156,1,0,other,81,0
3,29,management,single,tertiary,0,637,1,0,cellular,397,1
4,25,student,single,primary,0,373,1,0,cellular,957,1
5,30,management,married,tertiary,0,2694,0,0,cellular,224,0
6,32,technician,single,tertiary,0,1625,0,0,cellular,930,1
7,37,admin.,single,tertiary,0,1000,1,0,cellular,228,1
8,35,management,divorced,tertiary,0,538,1,0,other,29,0
9,30,admin.,married,secondary,0,187,1,0,cellular,124,0
10,30,blue-collar,married,secondary,0,3,1,1,cellular,381,0
11,27,services,single,secondary,0,0,0,0,cellular,211,0
12,53,blue-collar,married,primary,1,-462,0,0,cellular,549,1
13,44,technician,married,secondary,0,2776,1,0,cellular,819,1
14,38,self-employed,divorced,secondary,0,2674,1,0,other,72,0
15,25,services,single,,0,2022,0,0,cellular,322,1
16,61,management,single,tertiary,0,2,0,0,cellular,153,1
17,34,admin.,single,secondary,0,69,1,0,telephone,92,0
18,46,management,married,tertiary,0,7331,0,0,cellular,769,1
19,49,blue-collar,married,secondary,0,2039,1,0,cellular,527,1
20,50,blue-collar,married,primary,0,82,0,0,telephone,456,1
21,57,blue-collar,married,secondary,0,773,1,1,other,43,0
22,80,retired,married,secondary,0,8304,0,0,telephone,606,1
23,31,management,single,tertiary,0,0,0,0,cellular,255,0
24,63,retired,married,secondary,0,2896,0,0,cellular,355,1
25,60,technician,married,secondary,0,824,1,0,cellular,148,1
26,29,management,married,tertiary,0,900,0,0,cellular,321,0
27,54,management,married,primary,0,3859,0,1,cellular,121,0
28,45,,divorced,,0,0,0,0,cellular,325,1
29,34,services,married,secondary,0,-62,1,0,other,48,0
30,42,blue-collar,married,primary,0,832,0,0,other,6,0
31,54,technician,married,secondary,0,0,0,0,telephone,766,1
32,32,admin.,single,secondary,0,6981,1,0,cellular,180,0
33,57,retired,single,tertiary,0,842,0,0,cellular,332,1
34,36,management,divorced,tertiary,0,1057,0,0,cellular,447,0
35,34,blue-collar,single,secondary,0,1698,1,0,other,17,0
36,39,blue-collar,married,secondary,0,300,1,0,cellular,591,0
37,31,blue-collar,married,secondary,0,664,1,1,other,433,0
38,33,admin.,married,secondary,0,0,1,0,cellular,48,0
39,41,blue-collar,divorced,primary,0,138,1,0,cellular,748,1
40,35,admin.,married,secondary,0,216,1,1,cellular,82,0
