Id,Age,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication
3501,27,admin.,single,secondary,0,1327,0,0,cellular
3502,32,management,single,tertiary,0,2059,0,0,cellular
3503,43,management,married,tertiary,0,2383,0,0,cellular
3504,56,unemployed,married,primary,0,3391,0,0,cellular
3505,25,entrepreneur,single,tertiary,0,347,0,0,cellular
3506,43,management,married,tertiary,0,445,0,1,other
3507,38,services,married,secondary,0,2678,0,0,cellular
3508,33,technician,married,secondary,0,557,0,0,cellular
3509,33,management,single,tertiary,0,7084,0,0,cellular
3510,54,self-employed,divorced,tertiary,0,0,1,1,cellular
3511,62,self-employed,divorced,tertiary,0,6,1,0,cellular
3512,28,blue-collar,single,secondary,0,0,1,0,other
3513,25,student,single,secondary,0,486,0,0,cellular
3514,30,unemployed,single,tertiary,0,1622,0,0,cellular
3515,34,technician,single,tertiary,0,992,1,0,cellular
3516,36,management,single,tertiary,0,1400,1,0,cellular
3517,39,management,married,secondary,0,11835,1,0,cellular
3518,31,management,married,tertiary,0,22546,1,0,cellular
3519,47,management,married,secondary,0,7,0,0,cellular
3520,56,retired,married,,0,230,0,0,cellular
3521,32,management,married,tertiary,0,132,1,0,other
3522,37,management,married,tertiary,0,784,1,0,cellular
3523,37,technician,married,secondary,0,1610,0,0,other
3524,54,retired,divorced,tertiary,0,2682,1,0,cellular
3525,21,student,single,primary,0,423,0,0,cellular
3526,44,technician,single,,0,78,1,0,other
3527,29,technician,single,secondary,0,113,0,0,cellular
3528,58,services,divorced,secondary,0,462,0,0,cellular
3529,50,blue-collar,married,secondary,0,326,0,0,cellular
3530,43,admin.,married,secondary,0,378,0,0,cellular
3531,31,services,single,secondary,0,1709,0,1,telephone
3532,35,blue-collar,married,primary,0,373,0,0,cellular
3533,50,blue-collar,married,primary,0,4979,0,0,telephone
3534,47,housemaid,married,secondary,0,0,1,0,telephone
3535,42,blue-collar,married,primary,0,205,1,0,cellular
3536,53,technician,married,secondary,0,180,0,1,cellular
3537,56,retired,divorced,tertiary,0,13094,0,0,cellular
3538,35,management,married,tertiary,0,43,1,0,cellular
3539,60,technician,married,secondary,0,2639,1,0,other
3540,32,management,single,tertiary,0,151,0,0,other
3541,41,housemaid,married,secondary,0,12,0,1,cellular
3542,42,blue-collar,married,secondary,0,160,1,1,other
3543,54,management,married,tertiary,0,148,0,1,cellular
3544,57,retired,married,primary,0,5799,0,0,other
3545,28,services,single,primary,0,198,0,0,cellular
3546,31,management,single,tertiary,0,12569,0,0,cellular
3547,55,management,divorced,tertiary,0,1633,0,0,telephone
3548,28,admin.,single,tertiary,0,832,0,0,telephone
3549,58,technician,single,secondary,0,382,0,0,cellular
3550,47,management,single,tertiary,0,86,0,0,cellular
3551,60,technician,divorced,tertiary,0,1900,1,0,other
3552,32,management,married,tertiary,0,1331,0,0,cellular
3553,48,services,married,secondary,0,6127,1,0,other
3554,27,student,single,secondary,0,8366,0,0,cellular
3555,50,self-employed,married,secondary,0,5312,0,0,cellular
3556,38,blue-collar,married,secondary,0,1165,1,0,cellular
3557,48,technician,married,secondary,0,0,0,0,cellular
3558,30,technician,married,secondary,0,484,1,0,other
3559,31,management,married,tertiary,0,792,0,0,cellular
3560,54,blue-collar,married,,0,6251,1,0,other
3561,30,technician,single,tertiary,0,2832,0,0,cellular
3562,25,services,married,secondary,0,10,1,0,cellular
3563,45,technician,divorced,secondary,0,1738,0,0,cellular
3564,50,technician,divorced,tertiary,0,1679,1,0,cellular
3565,38,management,single,tertiary,0,455,1,0,cellular
3566,72,retired,married,secondary,0,676,0,0,cellular
3567,37,blue-collar,married,secondary,0,5334,0,0,other
3568,37,management,divorced,tertiary,0,153,1,0,cellular
3569,40,blue-collar,married,secondary,0,188,1,1,other
3570,47,management,married,tertiary,0,1224,0,0,cellular
3571,30,unemployed,single,secondary,0,40,0,0,cellular
3572,38,management,single,tertiary,0,8953,0,1,cellular
3573,38,blue-collar,married,secondary,0,1627,0,0,other
3574,31,management,married,secondary,0,8629,1,0,other
3575,44,self-employed,divorced,tertiary,0,1070,1,0,cellular
3576,28,blue-collar,single,secondary,0,623,0,0,other
3577,43,retired,married,secondary,0,860,0,0,telephone
3578,34,technician,single,secondary,0,1279,1,0,cellular
3579,30,blue-collar,married,primary,0,-336,0,0,cellular
3580,54,management,married,tertiary,0,1623,0,0,cellular
3581,35,management,married,tertiary,0,4124,1,0,cellular
3582,43,management,single,tertiary,0,0,0,0,cellular
3583,36,admin.,single,secondary,0,507,1,0,cellular
3584,31,management,single,tertiary,0,177,1,0,cellular
3585,39,admin.,married,tertiary,0,722,0,0,telephone
3586,26,technician,married,,0,-277,1,0,cellular
3587,43,management,married,tertiary,0,1825,1,0,other
3588,33,blue-collar,married,secondary,0,89,1,0,cellular
3589,31,technician,married,secondary,0,7,0,0,telephone
3590,37,management,single,tertiary,0,8828,0,0,other
3591,37,management,divorced,tertiary,0,488,1,0,cellular
3592,49,admin.,married,secondary,0,5361,0,0,cellular
3593,45,management,divorced,tertiary,0,6572,1,0,cellular
3594,43,management,married,secondary,0,392,0,0,other
3595,36,management,divorced,tertiary,0,1057,0,0,cellular
3596,34,technician,married,secondary,0,1,0,1,other
3597,33,admin.,single,secondary,0,1779,1,0,other
3598,30,technician,single,tertiary,0,0,1,0,cellular
3599,59,management,divorced,tertiary,0,258,1,0,telephone
3600,48,technician,married,secondary,0,566,0,0,cellular
3601,61,admin.,married,,0,4629,1,0,cellular
3602,26,technician,single,secondary,0,44,0,0,cellular
3603,48,unemployed,married,secondary,0,926,0,0,cellular
3604,46,services,divorced,secondary,0,-179,0,0,cellular
3605,48,management,married,tertiary,0,2351,0,0,cellular
3606,33,management,married,secondary,0,336,0,0,cellular
3607,44,technician,divorced,secondary,0,275,0,0,cellular
3608,39,technician,married,tertiary,0,1524,0,0,cellular
3609,58,technician,married,tertiary,0,1692,1,0,telephone
3610,41,blue-collar,married,secondary,1,-204,1,0,other
3611,40,blue-collar,married,secondary,0,5060,0,0,cellular
3612,43,housemaid,married,primary,0,410,1,1,cellular
3613,49,admin.,married,secondary,0,3608,1,0,cellular
3614,32,admin.,single,tertiary,0,1531,1,0,cellular
3615,26,blue-collar,single,secondary,0,-214,1,0,other
3616,39,,single,,0,0,0,0,telephone
3617,43,blue-collar,married,secondary,0,1335,1,0,other
3618,37,admin.,single,tertiary,0,1000,1,0,cellular
3619,51,entrepreneur,married,primary,0,726,1,1,cellular
3620,46,admin.,divorced,secondary,0,2196,0,0,cellular
3621,81,retired,married,primary,0,0,0,0,telephone
3622,31,management,married,tertiary,0,18,1,0,cellular
3623,53,technician,married,secondary,0,1319,0,0,other
3624,30,management,single,tertiary,0,501,1,0,other
3625,31,admin.,married,secondary,0,352,0,0,telephone
3626,53,management,married,tertiary,0,15,0,0,cellular
3627,47,services,divorced,tertiary,0,1639,0,0,cellular
3628,56,retired,divorced,primary,0,694,0,0,cellular
3629,51,management,married,tertiary,0,0,0,0,other
3630,31,services,married,secondary,0,525,1,1,other
3631,69,retired,married,,0,426,0,0,telephone
3632,36,admin.,married,secondary,0,498,1,0,cellular
3633,30,management,married,tertiary,0,102,1,0,cellular
3634,34,technician,single,tertiary,0,586,1,0,cellular
3635,27,management,single,tertiary,0,1840,0,0,cellular
3636,33,management,married,secondary,0,333,0,0,cellular
3637,40,management,married,tertiary,0,0,0,0,cellular
3638,49,entrepreneur,married,tertiary,0,320,1,1,other
3639,35,management,single,tertiary,0,916,1,0,cellular
3640,53,blue-collar,divorced,primary,0,-1,1,0,cellular
3641,31,unemployed,single,primary,0,406,0,0,cellular
3642,49,management,married,tertiary,0,1912,1,0,cellular
3643,47,admin.,married,secondary,0,-245,1,0,other
3644,34,technician,single,secondary,0,513,1,0,cellular
3645,55,management,married,tertiary,0,-375,0,0,cellular
3646,57,admin.,married,,0,1401,0,0,cellular
3647,34,technician,single,tertiary,0,184,1,0,cellular
3648,35,admin.,divorced,secondary,0,0,1,1,cellular
3649,37,blue-collar,married,secondary,0,790,0,0,other
3650,45,unemployed,married,secondary,0,-407,1,0,cellular
3651,46,admin.,married,secondary,0,5169,0,0,cellular
3652,43,management,single,tertiary,0,2067,1,0,other
3653,34,unemployed,married,secondary,0,978,0,0,cellular
3654,60,retired,married,,0,209,0,0,cellular
3655,33,management,married,tertiary,0,1778,0,0,cellular
3656,42,admin.,single,,0,297,1,0,other
3657,24,blue-collar,single,secondary,0,9883,0,0,cellular
3658,29,management,single,tertiary,0,985,1,0,cellular
3659,36,services,single,secondary,0,99,0,0,other
3660,30,student,single,,0,4468,0,0,cellular
3661,29,blue-collar,single,secondary,0,8079,0,1,cellular
3662,53,retired,married,tertiary,0,2269,0,0,cellular
3663,38,services,divorced,secondary,0,-345,1,0,other
3664,56,blue-collar,married,primary,0,0,1,0,cellular
3665,45,housemaid,married,secondary,0,1623,0,0,cellular
3666,30,entrepreneur,married,primary,0,-98,1,0,other
3667,45,admin.,married,,0,1577,0,0,other
3668,44,technician,married,secondary,0,135,1,0,cellular
3669,44,technician,divorced,secondary,0,14,0,0,cellular
3670,53,technician,single,secondary,0,925,0,0,cellular
3671,31,management,married,tertiary,0,8312,0,0,cellular
3672,35,self-employed,married,secondary,0,0,1,0,telephone
3673,35,technician,married,tertiary,0,7050,0,0,cellular
3674,52,blue-collar,married,secondary,0,3622,1,1,other
3675,56,blue-collar,single,secondary,0,6483,1,0,cellular
3676,32,blue-collar,married,primary,0,2114,1,0,telephone
3677,58,blue-collar,single,primary,0,26,1,0,cellular
3678,44,blue-collar,single,secondary,0,712,1,1,cellular
3679,41,admin.,married,secondary,0,0,0,0,other
3680,48,blue-collar,married,primary,0,323,0,0,cellular
3681,30,student,single,,0,809,0,0,cellular
3682,63,retired,married,secondary,0,1612,0,0,telephone
3683,33,management,single,secondary,0,0,0,0,cellular
3684,30,management,married,tertiary,0,160,1,0,cellular
3685,53,technician,married,primary,0,6839,1,0,cellular
3686,39,blue-collar,married,secondary,0,62,1,0,cellular
3687,28,technician,single,secondary,0,2000,0,0,telephone
3688,48,housemaid,married,secondary,0,513,0,1,cellular
3689,48,admin.,single,secondary,0,1544,1,0,telephone
3690,36,unemployed,married,secondary,0,608,1,0,cellular
3691,51,entrepreneur,married,primary,0,1443,0,0,cellular
3692,50,technician,married,secondary,0,3176,0,0,cellular
3693,30,management,married,tertiary,0,1235,1,0,cellular
3694,29,services,single,secondary,0,695,0,0,other
3695,38,technician,single,secondary,0,2751,1,0,other
3696,35,management,single,tertiary,0,2646,0,0,cellular
3697,50,management,married,tertiary,0,5124,1,0,cellular
3698,34,services,married,secondary,0,1076,0,0,cellular
3699,40,services,married,secondary,0,471,1,0,cellular
3700,41,management,married,tertiary,0,2487,0,0,cellular
3701,37,housemaid,married,secondary,0,589,1,0,cellular
3702,42,admin.,single,secondary,0,684,0,0,cellular
3703,34,technician,married,secondary,0,0,1,0,cellular
3704,56,self-employed,married,secondary,0,784,0,1,cellular
3705,35,admin.,single,secondary,0,0,1,0,cellular
3706,46,unemployed,married,secondary,0,926,0,0,cellular
3707,26,management,single,tertiary,0,943,0,0,cellular
3708,39,student,single,tertiary,0,2103,0,0,cellular
3709,30,blue-collar,single,tertiary,0,297,0,0,cellular
3710,39,services,married,secondary,0,0,1,1,other
3711,28,management,single,tertiary,0,0,1,0,cellular
3712,26,student,single,tertiary,0,10086,0,0,cellular
3713,34,technician,single,tertiary,0,144,1,1,cellular
3714,49,management,married,tertiary,0,5887,0,0,cellular
3715,47,admin.,married,secondary,0,73,0,0,cellular
3716,39,blue-collar,married,primary,0,70,0,0,other
3717,32,technician,single,tertiary,0,388,1,0,cellular
3718,43,management,married,tertiary,0,0,0,0,cellular
3719,27,technician,single,tertiary,0,1075,0,0,cellular
3720,33,management,single,tertiary,0,0,0,0,cellular
3721,60,management,married,tertiary,0,2222,1,0,cellular
3722,55,management,married,tertiary,0,7803,0,0,cellular
3723,32,admin.,married,secondary,0,2,1,0,cellular
3724,37,admin.,married,,0,892,1,0,cellular
3725,48,unemployed,divorced,secondary,0,1266,1,0,telephone
3726,38,technician,married,secondary,0,13,0,0,cellular
3727,50,entrepreneur,married,tertiary,0,388,1,0,cellular
3728,48,technician,married,secondary,0,0,0,0,cellular
3729,31,blue-collar,married,secondary,0,625,1,0,cellular
3730,37,blue-collar,single,secondary,0,238,1,0,other
3731,24,blue-collar,single,secondary,0,1421,1,0,cellular
3732,48,management,single,tertiary,0,-295,0,1,cellular
3733,32,technician,single,tertiary,0,6746,0,0,cellular
3734,36,self-employed,married,secondary,0,328,0,0,cellular
3735,33,management,single,tertiary,0,383,1,0,cellular
3736,37,management,married,secondary,0,5447,1,1,cellular
3737,71,retired,married,secondary,0,5715,0,0,cellular
3738,33,blue-collar,single,secondary,0,1254,1,0,cellular
3739,26,,divorced,secondary,0,-295,1,0,cellular
3740,37,technician,single,tertiary,0,0,0,0,other
3741,35,management,single,tertiary,0,1494,1,0,cellular
3742,35,unemployed,married,secondary,0,978,0,0,cellular
3743,36,retired,single,secondary,0,101,1,1,other
3744,32,services,married,secondary,0,-124,0,0,other
3745,48,management,married,,0,598,0,0,other
3746,32,student,single,tertiary,0,64,0,0,cellular
3747,48,management,single,tertiary,0,334,1,0,cellular
3748,50,technician,divorced,secondary,0,376,0,0,cellular
3749,35,technician,married,secondary,0,0,1,1,cellular
3750,41,management,married,tertiary,0,0,0,0,cellular
3751,29,blue-collar,single,tertiary,0,455,0,0,telephone
3752,54,self-employed,divorced,primary,0,351,1,0,other
3753,52,technician,married,secondary,0,1033,0,0,cellular
3754,37,services,married,secondary,0,775,0,1,cellular
3755,23,technician,single,secondary,1,150,1,1,other
3756,57,retired,single,tertiary,0,2528,1,1,other
3757,42,blue-collar,single,secondary,0,1080,1,1,cellular
3758,34,admin.,married,secondary,0,445,0,0,cellular
3759,27,student,single,tertiary,0,5291,0,0,cellular
3760,55,housemaid,married,secondary,0,127,1,0,telephone
3761,53,management,married,tertiary,0,1624,0,0,cellular
3762,32,technician,single,secondary,0,0,0,0,cellular
3763,41,blue-collar,married,secondary,0,0,1,0,cellular
3764,57,management,married,secondary,0,0,1,0,cellular
3765,54,blue-collar,married,primary,0,1659,0,0,cellular
3766,35,management,married,tertiary,0,71,1,0,cellular
3767,54,admin.,married,secondary,0,812,1,1,cellular
3768,52,blue-collar,married,secondary,0,955,0,1,cellular
3769,32,management,single,tertiary,0,6542,1,0,cellular
3770,22,student,single,tertiary,0,691,0,0,cellular
3771,75,blue-collar,married,secondary,0,6053,0,0,telephone
3772,36,blue-collar,married,secondary,0,0,1,0,cellular
3773,31,blue-collar,married,primary,0,224,1,0,cellular
3774,40,technician,divorced,tertiary,0,568,1,0,other
3775,43,blue-collar,single,primary,0,999,1,0,other
3776,36,technician,single,secondary,0,651,0,0,cellular
3777,36,blue-collar,married,secondary,0,1772,0,0,other
3778,51,self-employed,married,secondary,0,1178,0,0,cellular
3779,33,management,divorced,tertiary,0,-255,1,1,cellular
3780,33,management,married,tertiary,0,0,0,0,cellular
3781,36,technician,married,primary,0,0,0,0,other
3782,41,management,married,tertiary,0,217,0,0,cellular
3783,34,management,married,tertiary,0,115,1,0,cellular
3784,53,blue-collar,married,secondary,0,-71,1,0,cellular
3785,28,student,single,,0,78,0,0,cellular
3786,30,blue-collar,married,secondary,0,486,1,0,other
3787,86,retired,divorced,primary,0,0,0,0,telephone
3788,54,self-employed,married,,0,204,0,0,cellular
3789,64,retired,married,,0,679,0,0,telephone
3790,35,technician,married,secondary,0,0,0,0,cellular
3791,42,blue-collar,married,secondary,0,68,1,0,other
3792,27,blue-collar,single,primary,0,377,0,0,cellular
3793,30,admin.,divorced,secondary,0,10,1,0,cellular
3794,29,student,single,secondary,0,67,0,0,cellular
3795,50,services,married,secondary,0,2376,1,0,cellular
3796,44,blue-collar,married,secondary,0,647,1,0,cellular
3797,34,management,married,tertiary,0,176,0,0,cellular
3798,35,admin.,married,tertiary,0,163,1,0,cellular
3799,35,management,single,tertiary,0,1396,1,0,cellular
3800,30,blue-collar,married,secondary,0,0,1,1,cellular
3801,43,management,divorced,tertiary,0,350,1,0,other
3802,34,technician,single,secondary,0,1279,1,0,cellular
